"Magnetizzazione:0","Magnetizzazione:1","Magnetizzazione:2","Heff:0","Heff:1","Heff:2","Hms:0","Hms:1","Hms:2","Hext:0","Hext:1","Hext:2","Hex:0","Hex:1","Hex:2","Cell Type"
-7.07885e+005,-4.88341e+005,4.68307e+003,6.10327e+003,4.21040e+003,-4.03761e+001,-1.33248e+004,-4.42040e+002,-1.05676e+003,1.40000e+004,0.00000e+000,0.00000e+000,5.42811e+003,4.65244e+003,1.01638e+003,9
-6.61077e+005,-5.50052e+005,4.37964e+003,5.05177e+003,4.20335e+003,-3.34675e+001,-1.39033e+004,-6.59848e+002,-1.03008e+003,1.40000e+004,0.00000e+000,0.00000e+000,4.95508e+003,4.86320e+003,9.96615e+002,9
-6.14360e+005,-6.01786e+005,4.04134e+003,4.15904e+003,4.07392e+003,-2.73582e+001,-1.45342e+004,-6.33730e+002,-9.96857e+002,1.40000e+004,0.00000e+000,0.00000e+000,4.69322e+003,4.70765e+003,9.69499e+002,9
-5.73753e+005,-6.40621e+005,3.43089e+003,3.69569e+003,4.12641e+003,-2.20987e+001,-1.48259e+004,-3.50357e+002,-9.22647e+002,1.40000e+004,0.00000e+000,0.00000e+000,4.52156e+003,4.47677e+003,9.00548e+002,9
-5.38233e+005,-6.70744e+005,2.80209e+003,3.17640e+003,3.95841e+003,-1.65361e+001,-1.45132e+004,-7.73418e+002,-8.25609e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.68965e+003,4.73183e+003,8.09073e+002,9
-5.04411e+005,-6.96537e+005,2.35636e+003,3.63015e+003,5.01284e+003,-1.69578e+001,-1.29328e+004,-9.58492e+001,-7.41912e+002,1.40000e+004,0.00000e+000,0.00000e+000,2.56299e+003,5.10869e+003,7.24954e+002,9
-4.62972e+005,-7.24742e+005,2.25896e+003,4.75568e+003,7.44460e+003,-2.32037e+001,-1.43533e+004,4.02872e+003,-7.23758e+002,1.40000e+004,0.00000e+000,0.00000e+000,5.10899e+003,3.41588e+003,7.00554e+002,9
-4.04486e+005,-7.58937e+005,2.45476e+003,3.55438e+003,6.66908e+003,-2.15704e+001,-1.40249e+004,1.59974e+003,-7.68261e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.57932e+003,5.06934e+003,7.46691e+002,9
-3.39704e+005,-7.90060e+005,2.43731e+003,3.25727e+003,7.57555e+003,-2.33698e+001,-1.23876e+004,1.43697e+003,-7.67009e+002,1.40000e+004,0.00000e+000,0.00000e+000,1.64484e+003,6.13859e+003,7.43639e+002,9
-2.82406e+005,-8.12307e+005,2.01527e+003,2.47456e+003,7.11778e+003,-1.76583e+001,-1.18383e+004,9.83041e+002,-6.73875e+002,1.40000e+004,0.00000e+000,0.00000e+000,3.12812e+002,6.13474e+003,6.56217e+002,9
-2.32194e+005,-8.28060e+005,1.61229e+003,1.32590e+003,4.72847e+003,-9.20630e+000,-1.10548e+004,-1.42726e+003,-5.69106e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.61930e+003,6.15573e+003,5.59900e+002,9
-1.24607e+005,-8.50924e+005,1.41317e+003,1.35309e+003,9.24011e+003,-1.53451e+001,-1.20713e+004,3.57796e+003,-5.11723e+002,1.40000e+004,0.00000e+000,0.00000e+000,-5.75637e+002,5.66215e+003,4.96377e+002,9
-5.05283e+004,-8.58513e+005,1.37969e+003,4.56528e+002,7.75674e+003,-1.24653e+001,-1.33696e+004,2.23598e+003,-5.00413e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.73875e+002,5.52076e+003,4.87948e+002,9
1.87074e+004,-8.59796e+005,1.26572e+003,-1.58292e+002,7.27511e+003,-1.07095e+001,-1.28489e+004,1.90713e+003,-4.60936e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.30938e+003,5.36798e+003,4.50227e+002,9
8.32866e+004,-8.55957e+005,1.12552e+003,-6.34298e+002,6.51884e+003,-8.57151e+000,-1.26644e+004,1.54126e+003,-4.09363e+002,1.40000e+004,0.00000e+000,0.00000e+000,-1.96989e+003,4.97758e+003,4.00792e+002,9
