Hu_200_00_10 Mu_200_00_10 Hv_200_00_10 Mv_200_00_10 Hw_200_00_10 Mw_200_00_10  Hu_200_00_20 Mu_200_00_20 Hv_200_00_20 Mv_200_00_20 Hw_200_00_20 Mw_200_00_20  Hu_200_00_30 Mu_200_00_30 Hv_200_00_30 Mv_200_00_30 Hw_200_00_30 Mw_200_00_30
 9.000000E+04 8.512869E+05 0.000000E+00 2.334664E+02 0.000000E+00 -1.838144E-05 9.000000E+04 8.496374E+05 0.000000E+00 2.691617E+02 0.000000E+00 -1.219435E-05 9.666667E+04 8.505483E+05 0.000000E+00 2.281299E+02 0.000000E+00  1.234670E-03
 8.900000E+04 8.512012E+05 0.000000E+00 2.377080E+02 0.000000E+00  1.813253E-06 8.900000E+04 8.495552E+05 0.000000E+00 2.735057E+02 0.000000E+00  5.057168E-05 9.633333E+04 8.505261E+05 0.000000E+00 2.292270E+02 0.000000E+00  1.221606E-03
 8.800000E+04 8.511144E+05 0.000000E+00 2.420592E+02 0.000000E+00  2.369642E-05 8.800000E+04 8.494722E+05 0.000000E+00 2.779540E+02 0.000000E+00  1.160810E-04 9.600000E+04 8.505038E+05 0.000000E+00 2.303321E+02 0.000000E+00  1.283674E-03
 8.700000E+04 8.510262E+05 0.000000E+00 2.465239E+02 0.000000E+00  3.377254E-05 8.700000E+04 8.493882E+05 0.000000E+00 2.825102E+02 0.000000E+00  1.289430E-04 9.566667E+04 8.504815E+05 0.000000E+00 2.314451E+02 0.000000E+00  1.271197E-03
 8.600000E+04 8.509368E+05 0.000000E+00 2.511060E+02 0.000000E+00  5.729985E-05 8.600000E+04 8.493033E+05 0.000000E+00 2.871778E+02 0.000000E+00  1.978608E-04 9.533333E+04 8.504590E+05 0.000000E+00 2.325663E+02 0.000000E+00  1.333508E-03
 8.500000E+04 8.508462E+05 0.000000E+00 2.558098E+02 0.000000E+00  8.190118E-05 8.500000E+04 8.492174E+05 0.000000E+00 2.919609E+02 0.000000E+00  2.692201E-04 9.500000E+04 8.504365E+05 0.000000E+00 2.336955E+02 0.000000E+00  1.321627E-03
 8.400000E+04 8.507542E+05 0.000000E+00 2.606397E+02 0.000000E+00  9.202518E-05 8.400000E+04 8.491305E+05 0.000000E+00 2.968633E+02 0.000000E+00  3.427634E-04 9.466667E+04 8.504140E+05 0.000000E+00 2.348331E+02 0.000000E+00  1.384106E-03
 8.300000E+04 8.506609E+05 0.000000E+00 2.656002E+02 0.000000E+00  1.171104E-04 8.300000E+04 8.490426E+05 0.000000E+00 3.018893E+02 0.000000E+00  4.182093E-04 9.433333E+04 8.503913E+05 0.000000E+00 2.359788E+02 0.000000E+00  1.372825E-03
 8.200000E+04 8.505662E+05 0.000000E+00 2.706963E+02 0.000000E+00  1.266989E-04 8.200000E+04 8.489538E+05 0.000000E+00 3.070433E+02 0.000000E+00  4.952220E-04 9.400000E+04 8.503686E+05 0.000000E+00 2.371331E+02 0.000000E+00  1.435391E-03
 8.100000E+04 8.504701E+05 0.000000E+00 2.759330E+02 0.000000E+00  1.513533E-04 8.100000E+04 8.488639E+05 0.000000E+00 3.123299E+02 0.000000E+00  5.734068E-04 9.366667E+04 8.503458E+05 0.000000E+00 2.382957E+02 0.000000E+00  1.424713E-03
